time_bin,label,source
2020-03-30 17:35:00,,mis/imp
2020-03-30 17:50:00,,mis/imp
2020-03-30 18:05:00,,mis/imp
2020-03-30 18:20:00,,mis/imp
2020-03-30 18:35:00,,mis/imp
2020-03-30 18:50:00,,mis/imp
2020-03-30 19:05:00,,mis/imp
2020-03-30 19:20:00,,mis/imp
2020-03-30 19:35:00,,mis/imp
2020-03-30 19:50:00,,mis/imp
2020-03-30 20:05:00,,mis/imp
2020-03-30 20:20:00,,mis/imp
2020-03-30 20:35:00,,mis/imp
2020-03-30 20:50:00,,mis/imp
2020-03-31 07:05:00,,mis/imp
2020-03-31 07:20:00,,mis/imp
2020-03-31 07:35:00,,mis/imp
2020-03-31 07:50:00,,mis/imp
2020-03-31 08:05:00,,mis/imp
2020-03-31 08:20:00,,mis/imp
2020-03-31 08:35:00,,mis/imp
2020-03-31 08:50:00,,mis/imp
2020-03-31 09:05:00,,mis/imp
2020-03-31 09:20:00,,mis/imp
2020-03-31 09:35:00,,mis/imp
2020-03-31 09:50:00,,mis/imp
2020-03-31 10:05:00,,mis/imp
2020-03-31 10:20:00,,mis/imp
2020-03-31 10:35:00,,mis/imp
2020-03-31 10:50:00,,mis/imp
2020-03-31 11:05:00,,mis/imp
2020-03-31 11:20:00,,mis/imp
2020-03-31 11:35:00,,mis/imp
2020-03-31 11:50:00,,mis/imp
2020-03-31 12:05:00,0.0,mis/imp
2020-03-31 12:20:00,0.0,obs
2020-03-31 12:35:00,0.0,mis/imp
2020-03-31 12:50:00,0.0,mis/imp
2020-03-31 13:05:00,,mis/imp
2020-03-31 13:20:00,,mis/imp
2020-03-31 13:35:00,,mis/imp
2020-03-31 13:50:00,,mis/imp
2020-03-31 14:05:00,,mis/imp
2020-03-31 14:20:00,,mis/imp
2020-03-31 14:35:00,,mis/imp
2020-03-31 14:50:00,,mis/imp
2020-03-31 15:05:00,,mis/imp
2020-03-31 15:20:00,,mis/imp
2020-03-31 15:35:00,,mis/imp
2020-03-31 15:50:00,,mis/imp
2020-03-31 16:05:00,,mis/imp
2020-03-31 16:20:00,,mis/imp
2020-03-31 16:35:00,,mis/imp
2020-03-31 16:50:00,,mis/imp
2020-03-31 17:05:00,,mis/imp
2020-03-31 17:20:00,,mis/imp
2020-03-31 17:35:00,,mis/imp
2020-03-31 17:50:00,,mis/imp
2020-03-31 18:05:00,,mis/imp
2020-03-31 18:20:00,,mis/imp
2020-03-31 18:35:00,,mis/imp
2020-03-31 18:50:00,,mis/imp
2020-03-31 19:05:00,,mis/imp
2020-03-31 19:20:00,,mis/imp
2020-03-31 19:35:00,,mis/imp
2020-03-31 19:50:00,,mis/imp
2020-03-31 20:05:00,,mis/imp
2020-03-31 20:20:00,,mis/imp
2020-03-31 20:35:00,,mis/imp
2020-03-31 20:50:00,,mis/imp
2020-04-01 07:05:00,,mis/imp
2020-04-01 07:20:00,,mis/imp
2020-04-01 07:35:00,,mis/imp
2020-04-01 07:50:00,,mis/imp
2020-04-01 08:05:00,,mis/imp
2020-04-01 08:20:00,,mis/imp
2020-04-01 08:35:00,,mis/imp
2020-04-01 08:50:00,,mis/imp
2020-04-01 09:05:00,,mis/imp
2020-04-01 09:20:00,,mis/imp
2020-04-01 09:35:00,,mis/imp
2020-04-01 09:50:00,,mis/imp
2020-04-01 10:05:00,,mis/imp
2020-04-01 10:20:00,,mis/imp
2020-04-01 10:35:00,,mis/imp
2020-04-01 10:50:00,,mis/imp
2020-04-01 11:05:00,,mis/imp
2020-04-01 11:20:00,,mis/imp
2020-04-01 11:35:00,,mis/imp
2020-04-01 11:50:00,,mis/imp
2020-04-01 12:05:00,,mis/imp
2020-04-01 12:20:00,,mis/imp
2020-04-01 12:35:00,,mis/imp
2020-04-01 12:50:00,,mis/imp
2020-04-01 13:05:00,,mis/imp
2020-04-01 13:20:00,,mis/imp
2020-04-01 13:35:00,,mis/imp
2020-04-01 13:50:00,,mis/imp
2020-04-01 14:05:00,,mis/imp
2020-04-01 14:20:00,,mis/imp
2020-04-01 14:35:00,1.0,mis/imp
2020-04-01 14:50:00,1.0,obs
2020-04-01 15:05:00,0.5,mis/imp
2020-04-01 15:20:00,0.0,obs
2020-04-01 15:35:00,0.0,mis/imp
2020-04-01 15:50:00,0.0,mis/imp
2020-04-01 16:05:00,,mis/imp
2020-04-01 16:20:00,,mis/imp
2020-04-01 16:35:00,,mis/imp
2020-04-01 16:50:00,,mis/imp
2020-04-01 17:05:00,,mis/imp
2020-04-01 17:20:00,,mis/imp
2020-04-01 17:35:00,,mis/imp
2020-04-01 17:50:00,,mis/imp
2020-04-01 18:05:00,,mis/imp
2020-04-01 18:20:00,,mis/imp
2020-04-01 18:35:00,,mis/imp
2020-04-01 18:50:00,,mis/imp
2020-04-01 19:05:00,,mis/imp
2020-04-01 19:20:00,,mis/imp
2020-04-01 19:35:00,,mis/imp
2020-04-01 19:50:00,,mis/imp
2020-04-01 20:05:00,,mis/imp
2020-04-01 20:20:00,,mis/imp
2020-04-01 20:35:00,,mis/imp
2020-04-01 20:50:00,,mis/imp
2020-04-02 07:05:00,,mis/imp
2020-04-02 07:20:00,,mis/imp
2020-04-02 07:35:00,,mis/imp
2020-04-02 07:50:00,,mis/imp
2020-04-02 08:05:00,,mis/imp
2020-04-02 08:20:00,,mis/imp
2020-04-02 08:35:00,,mis/imp
2020-04-02 08:50:00,,mis/imp
2020-04-02 09:05:00,,mis/imp
2020-04-02 09:20:00,,mis/imp
2020-04-02 09:35:00,,mis/imp
2020-04-02 09:50:00,,mis/imp
2020-04-02 10:05:00,,mis/imp
2020-04-02 10:20:00,,mis/imp
2020-04-02 10:35:00,,mis/imp
2020-04-02 10:50:00,,mis/imp
2020-04-02 11:05:00,,mis/imp
2020-04-02 11:20:00,,mis/imp
2020-04-02 11:35:00,,mis/imp
2020-04-02 11:50:00,,mis/imp
2020-04-02 12:05:00,,mis/imp
2020-04-02 12:20:00,,mis/imp
2020-04-02 12:35:00,,mis/imp
2020-04-02 12:50:00,,mis/imp
2020-04-02 13:05:00,,mis/imp
2020-04-02 13:20:00,,mis/imp
2020-04-02 13:35:00,,mis/imp
2020-04-02 13:50:00,,mis/imp
2020-04-02 14:05:00,,mis/imp
2020-04-02 14:20:00,,mis/imp
2020-04-02 14:35:00,,mis/imp
2020-04-02 14:50:00,,mis/imp
2020-04-02 15:05:00,,mis/imp
2020-04-02 15:20:00,,mis/imp
2020-04-02 15:35:00,,mis/imp
2020-04-02 15:50:00,0.0,mis/imp
2020-04-02 16:05:00,0.0,obs
2020-04-02 16:20:00,0.0,mis/imp
2020-04-02 16:35:00,0.0,mis/imp
2020-04-02 16:50:00,0.0,obs
2020-04-02 17:05:00,,mis/imp
2020-04-02 17:20:00,,mis/imp
2020-04-02 17:35:00,1.0,mis/imp
2020-04-02 17:50:00,0.5,obs
2020-04-02 18:05:00,1.0,mis/imp
2020-04-02 18:20:00,1.0,mis/imp
